STATE,YEAR,MONTH_NAME,DATE,EVENT_TYPE,GRP_STORM,N_GRP_STORM,GRP_DISTRICT,N_GRP_DISTRICT,COUNTY,LOCATION,INJURIES_DIRECT,INJURIES_INDIRECT,INJURIES,DEATHS_DIRECT,DEATHS_INDIRECT,DEATHS,DAMAGE_PROPERTY,DAMAGE_CROPS, COST (BN) ,EVENT_NARRATIVE
TEXAS,2016,May,5/27/2016,Drought,Drought,1,DISTRICT 12 - AUSTIN,12,BASTROP,"29.955422,-97.425923",0,0,0,0,0,0,0,0,,"After two months with less than 50 percent of normal rainfall, Bastrop, Blanco, and Caldwell Counties entered Severe Drought category (Stage D2). All three counties had burn bans in effect at the end of the month. The Texas Crop and Weather Report issued by Texas A&M indicated pastures and rangeland were declining due to hot and dry conditions. The seven day stream flow average at the end of the month was much below normal (less than 10 percent) in the Middle Guadalupe River basin. The Edwards Aquifer fell during the month and was at 646.5 feet. This was 17.9 feet higher than at the end of August 2014, but 14 feet below average. The Barton Springs Edwards Aquifer Conservation District was in Stage 1 (10 percent reduction) drought status."
TEXAS,2015,November,11/6/2015,Drought,Drought,1,DISTRICT 11 - WACO,11,BELL,"31.121795,-97.440951",0,0,0,0,0,0,0,500,"$9,500,000,000","Bell County had only small sections of Severe/D2 drought nosing into the edges of the county during the first half of September. These conditions expanded to include all of the county during the third week of the month, and subsequently remained in place through the end of the month."
TEXAS,2016,May,5/29/2016,Drought,Drought,1,DISTRICT 1 - AMARILLO,1,CARSON,"35.569232,-101.172931",0,0,0,0,0,0,0,0,,Extreme Drought (D3) as depicted on the U.S. Drought Monitor.
TEXAS,2016,May,5/29/2016,Drought,Drought,1,DISTRICT 1 - AMARILLO,1,CARSON,"35.569232,-101.172931",0,0,0,0,0,0,0,0,,Extreme Drought (D3) as depicted on the U.S. Drought Monitor.
TEXAS,2016,October,10/8/2016,Drought,Drought,1,DISTRICT 20 - CORPUS CHRISTI,20,COASTAL CAMERON,"27.9928578,-97.1485818",0,0,0,0,0,0,0,0,,"A general lack of rainfall allowed for drought conditions to intensify cross coastal Cameron County by mid August, with Severe (D2) drought conditions returning to the region."
TEXAS,2015,December,12/26/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,COLLIN,"33.096727,-96.805334",0,0,0,0,0,0,0,1000,"$9,500,000,000",Severe/D2 drought conditions county-wide at the beginning of March improved to Moderate/D1 across the northern third of the county around the middle of the month. Conditions remained split between D2 in the south and D1 in the north through the end of the month.
TEXAS,2015,December,12/26/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,COLLIN,"33.096727,-96.805334",0,0,0,0,0,0,0,1000,"$9,500,000,000","The southern half of Collin County started the month of April in D2/Severe drought conditions. By the end of April, the drought had been alleviated due to multiple rounds of precipitation."
TEXAS,2015,July,7/19/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,COLLIN,"33.096727,-96.805334",0,0,0,0,0,0,0,1000,"$9,500,000,000","Severe/D2 drought conditions covered Collin County for all of September, 2015."
TEXAS,2015,November,11/17/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,COLLIN,"33.096727,-96.805334",0,0,0,0,0,0,0,2000,"$9,500,000,000","Severe/D2 drought conditions in place across all of Collin County at the beginning of January, 2015 deteriorated to Extreme/D3 around the middle of the month across central and southern portions of the county. Conditions remained as such through the end of the month."
TEXAS,2015,May,5/29/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,DALLAS,"32.767268,-96.777626",0,0,0,0,0,0,0,0,,Severe/D2 drought conditions returned across the southern half of the county after a few months of below normal rainfall.
TEXAS,2015,November,11/17/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,DALLAS,"32.767268,-96.777626",0,0,0,0,0,0,0,1000,"$9,500,000,000","The western quarter of Dallas County started the month of April in D3/Extreme drought conditions, while the rest of the county experienced D2/Severe drought conditions. However, by late April, only D2/Severe drought conditions were present across the county, and by the end of the month, all drought had been removed due to multiple rounds of precipitation."
TEXAS,2015,November,11/17/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,DALLAS,"32.767268,-96.777626",0,0,0,0,0,0,0,1000,"$9,500,000,000","Severe/D2 conditions in place county-wide at the beginning of September improved during the middle of the month due to a couple of rainfall events across the region. However, severe drought conditions returned during the final week of the month as a dry weather pattern reestablished itself over the area."
TEXAS,2015,November,11/27/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,DALLAS,"32.767268,-96.777626",0,0,0,0,0,0,0,2000,"$9,500,000,000","Dallas County spent January, 2015 with Extreme/D3 conditions across the western three-quarters of the county and Severe/D2 across the eastern quarter of the county."
TEXAS,2015,November,11/27/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,DALLAS,"32.767268,-96.777626",0,0,0,0,0,0,0,2000,"$9,500,000,000","The majority of Dallas County started the month under D3/Extreme drought conditions. By the second week, northwestern areas of the county worsened to D4/Exceptional drought. By the end of the month, all areas were under D3/Extreme drought conditions after multiple rounds of winter precipitation affected the area."
TEXAS,2015,November,11/17/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,DALLAS,"32.767268,-96.777626",0,0,0,0,0,0,0,3000,"$9,500,000,000","Extreme/D3 conditions county-wide at the beginning of the month receded to only cover the western third of the county during the first week. Severe/D2 conditions covered the rest of the county, and conditions remained as such through the end of the month."
TEXAS,2016,March,3/17/2016,Drought,Drought,1,DISTRICT 5 - MT PLEASANT,5,FRANKLIN,"33.047785,-95.196153",0,0,0,0,0,0,0,0,,
TEXAS,2016,April,4/30/2016,Drought,Drought,1,DISTRICT 6 - TYLER,6,GREGG,"32.493577,-94.827415",0,0,0,0,0,0,0,0,,
TEXAS,2016,April,4/28/2016,Drought,Drought,1,DISTRICT 1 - AMARILLO,1,HALL,"34.068903,-101.826997",0,0,0,0,0,0,0,0,,
TEXAS,2016,May,5/16/2016,Drought,Drought,1,DISTRICT 1 - AMARILLO,1,HEMPHILL,"35.904503,-100.384093",0,0,0,0,0,0,0,0,,Extreme Drought (D3) as depicted on the U.S. Drought Monitor.
TEXAS,2015,May,5/25/2015,Drought,Drought,1,DISTRICT 11 - WACO,11,MILAM,"30.973648,-96.964199",0,0,0,0,0,0,0,0,,Severe/D2 drought conditions returned across the county after a few months of below normal rainfall.
TEXAS,2016,March,3/28/2016,Drought,Drought,1,DISTRICT 1 - AMARILLO,1,RANDALL,"35.131403,-101.856612",0,0,0,0,0,0,0,0,,Severe Drought (D2) as depicted on the U.S. Drought Monitor.
TEXAS,2016,May,5/27/2016,Drought,Drought,1,DISTRICT 14 - LUFKIN,14,SABINE,"31.373062,-93.821948",0,0,0,0,0,0,0,0,,
TEXAS,2016,May,5/26/2016,Drought,Drought,1,DISTRICT 14 - LUFKIN,14,SABINE,"31.373062,-93.821948",0,0,0,0,0,0,0,0,,
TEXAS,2016,August,8/9/2016,Drought,Drought,1,DISTRICT 14 - LUFKIN,14,SHELBY,"31.774637,-94.152946",0,0,0,0,0,0,0,0,,
TEXAS,2016,April,4/29/2016,Drought,Drought,1,DISTRICT 6 - TYLER,6,SMITH,"32.288029,-95.200403",0,0,0,0,0,0,0,0,,
TEXAS,2016,April,4/26/2016,Drought,Drought,1,DISTRICT 14 - LUFKIN,14,TAYLOR,"31.4487364,-93.7331439",0,0,0,0,0,0,0,0,,The U.S. Drought Monitor indicated Taylor County was in a severe drought.
TEXAS,2016,April,4/17/2016,Drought,Drought,1,DISTRICT 12 - AUSTIN,12,WILLIAMSON,"30.487161,-97.367571",0,0,0,0,0,0,0,0,,"Most of South Central Texas had less than normal precipitation in September with many counties getting less than 25% of normal. The result of this dryness was Burnet, Gillespie, Kendall, Llano, Williamson, Wilson, and Zavala Counties went into severe drought category (Stage D2) and Guadalupe County went into extreme drought category (Stage D3). Bastrop, Blanco, and Caldwell Counties remained in Stage D2. Of the counties in Stage D2 or worse all had burn bans in effect at the end of the month except Zavala. The Texas Crop and Weather Report issued by Texas A&M indicated grasses were becoming dry and some ranchers were feeding hay due to poor grazing conditions. The seven day stream flow average at the end of the month was much below normal (less than 10 percent) in the Colorado and Lower Nueces River basins and below normal (10-24 percent) in the Lower Guadalupe basin. The Edwards Aquifer fell during the month and was at 645.2 feet. This was 14.6 feet higher than at the end of September 2014, but 18.1 feet below average. The Barton Springs Edwards Aquifer Conservation District was in Stage 1 (10 percent reduction) drought status. Area lakes and reservoirs continued below normal pool elevations. Lake Buchanan was 14.3 feet below normal and Lake Georgetown was 9.2 feet below normal. Fredericksburg remained in stage 3 water restrictions."
TEXAS,2016,April,4/25/2016,Drought,Drought,1,DISTRICT 12 - AUSTIN,12,BURNET,"30.663954,-98.161114",0,0,0,0,0,0,0,0,,"Most of South Central Texas had less than normal precipitation in September with many counties getting less than 25% of normal. The result of this dryness was Burnet, Gillespie, Kendall, Llano, Williamson, Wilson, and Zavala Counties went into severe drought category (Stage D2) and Guadalupe County went into extreme drought category (Stage D3). Bastrop, Blanco, and Caldwell Counties remained in Stage D2. Of the counties in Stage D2 or worse all had burn bans in effect at the end of the month except Zavala. The Texas Crop and Weather Report issued by Texas A&M indicated grasses were becoming dry and some ranchers were feeding hay due to poor grazing conditions. The seven day stream flow average at the end of the month was much below normal (less than 10 percent) in the Colorado and Lower Nueces River basins and below normal (10-24 percent) in the Lower Guadalupe basin. The Edwards Aquifer fell during the month and was at 645.2 feet. This was 14.6 feet higher than at the end of September 2014, but 18.1 feet below average. The Barton Springs Edwards Aquifer Conservation District was in Stage 1 (10 percent reduction) drought status. Area lakes and reservoirs continued below normal pool elevations. Lake Buchanan was 14.3 feet below normal and Lake Georgetown was 9.2 feet below normal. Fredericksburg remained in stage 3 water restrictions."
TEXAS,2015,November,11/27/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,COLLIN,"33.096727,-96.805334",0,0,0,0,0,0,0,2000,"$9,500,000,000","Nearly all of Collin County spent the month in D3/Extreme drought conditions, but, except for the southwestern portions of the county, the area saw improvement to D2/Severe drought conditions near the end of the month due to multiple rounds of winter precipitation."
